rank,community_name,region,spatial_index,development_index,security_index,territorial_stability_index,stability_class
1,Чугуївська,Харківська область,0.6916666666666667,0.8366666666666667,0.69,0.7389666666666668,Operational
2,Дергачівська,Харківська область,0.7,0.7083333333333335,0.62,0.67635,Operational
3,Зміївська,Харківська область,0.653125,0.6628333333333334,0.63,0.6486975,Operational
4,Мереф'янська,Харківська область,0.49687499999999996,0.4311666666666667,0.53,0.4861225,Vulnerable
5,Південна,Харківська область,0.36250000000000004,0.22000000000000003,0.43000000000000005,0.33775000000000005,Critical
